sort_type,data_type,input_size,compares,swaps,time_microsec
0,1,1000,499500,1000,0
1,1,1000,999,999,0
2,1,1000,499500,0,0
3,1,1000,999,0,0
4,1,1000,4932,0,1532
5,1,1000,499500,999,7758
6,1,1000,30624,8709,0
7,1,1000,19660,9711,0
0,1,10000,49995000,10000,78135
1,1,10000,9999,9999,0
2,1,10000,49995000,0,65824
3,1,10000,9999,0,0
4,1,10000,64608,0,6207
5,1,10000,49995000,9999,64171
6,1,10000,410868,121957,6788
7,1,10000,264526,131425,0
0,1,20000,199990000,20000,305613
1,1,20000,19999,19999,0
2,1,20000,199990000,0,326631
3,1,20000,19999,0,0
4,1,20000,139216,0,15614
5,1,20000,199990000,19999,273999
6,1,20000,878634,262879,15634
7,1,20000,569070,282591,0
0,2,1000,499500,1000,0
1,2,1000,999,251330,0
2,2,1000,499500,250331,0
3,2,1000,498510,250331,2492
4,2,1000,8711,4399,0
5,2,1000,11697,6453,0
6,2,1000,28791,8098,0
7,2,1000,18890,9110,0
0,2,10000,49995000,10000,78244
1,2,10000,9999,24826647,55386
2,2,10000,49995000,24812137,164521
3,2,10000,49979247,24816648,166963
4,2,10000,120497,61404,8125
5,2,10000,148361,78007,0
6,2,10000,387981,114328,0
7,2,10000,255506,124226,3036
0,2,50000,1249975000,50000,1949591
1,2,50000,49999,622828194,1404427
2,2,50000,1249975000,530837202,7371088
3,2,50000,1249957980,622778195,7728495
4,2,50000,718207,363318,15609
5,2,50000,952978,520374,0
6,2,50000,2287572,687525,15619
7,2,50000,1509778,737597,0
0,2,100000,704982704,100000,7632631
1,2,100000,99999,-1794628275,5544573
2,2,100000,704982704,-1797299918,26897826
3,2,100000,704981164,-1794728274,18992018
4,2,100000,1536465,776345,31251
5,2,100000,1922096,1031493,15026
6,2,100000,4874898,1474967,15625
7,2,100000,3219006,1574730,15625
0,3,1000,499500,1000,0
1,3,1000,999,219680,0
2,3,1000,499500,2538,0
3,3,1000,494450,218681,0
4,3,1000,8463,3970,0
5,3,1000,93068,2111,0
6,3,1000,24450,6651,0
7,3,1000,16418,7421,1017
0,3,10000,49995000,10000,43258
1,3,10000,9999,20195911,43511
2,3,10000,49995000,24816,48134
3,3,10000,49499490,20185912,99506
4,3,10000,115828,54775,3798
5,3,10000,9013320,28910,0
6,3,10000,333333,96112,1010
7,3,10000,224044,104560,0
0,3,50000,1249975000,50000,1273011
1,3,50000,49999,511062018,751974
2,3,50000,1249975000,124853,1235880
3,3,50000,1237322035,511012019,4433733
4,3,50000,690000,325692,15620
5,3,50000,224953777,110131,200367
6,3,50000,1959939,578314,0
7,3,50000,1314540,620008,0
0,3,100000,704982704,100000,5225051
1,3,100000,99999,2046193701,3080246
2,3,100000,704982704,250061,5257662
3,3,100000,654717353,2046093702,19324043
4,3,100000,1475286,696914,22095
5,3,100000,899699025,259949,791424
6,3,100000,4163619,1237874,15628
7,3,100000,2794098,1322581,15627
0,0,1000,499500,1000,0
1,0,1000,999,500499,0
2,0,1000,499500,499500,0
3,0,1000,499500,499500,1769
4,0,1000,5044,5044,0
5,0,1000,499500,250999,0
6,0,1000,26448,7317,0
7,0,1000,17968,8313,0
0,0,10000,49995000,10000,47528
1,0,10000,9999,50004999,69369
2,0,10000,49995000,49995000,141081
3,0,10000,49995000,49995000,138327
4,0,10000,69008,69008,2107
5,0,10000,49995000,25009999,88378
6,0,10000,365088,106697,997
7,0,10000,246744,116977,16057
0,0,20000,199990000,20000,234375
1,0,20000,19999,200009999,301351
2,0,20000,199990000,199990000,544376
3,0,20000,199990000,199990000,590753
4,0,20000,148016,148016,0
5,0,20000,199990000,100019999,350633
6,0,20000,793002,234335,0
7,0,20000,533452,253373,0
0,2,1000,499500,1000,0
1,2,1000,999,248839,0
2,2,1000,499500,247840,0
3,2,1000,499175,247840,1518
4,2,1000,8679,4391,0
5,2,1000,11305,6703,0
6,2,1000,28836,8113,0
7,2,1000,18834,9081,0
